Code,Country,
1,Belgium,EU 27
2,Bulgaria,EU 27
3,Czechia,EU 27
4,Denmark,EU 27
5,Germany,EU 27
6,Estonia,EU 27
7,Greece,EU 27
8,Spain,EU 27
9,France,EU 27
10,Croatia,EU 27
11,Italy,EU 27
12,Latvia,EU 27
13,Lithuania,EU 27
14,Luxembourg,EU 27
15,Hungary,EU 27
16,Netherlands,EU 27
17,Austria,EU 27
18,Poland,EU 27
19,Portugal,EU 27
20,Romania,EU 27
21,Slovenia,EU 27
22,Slovakia,EU 27
23,Finland,EU 27
24,UK,NonEU
25,North Macedonia,NonEU
26,Serbia,NonEU
27,Moldova,NonEU
28,Ukraine,NonEU
29,Ireland,EU 27
