zone,Abbrev,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1 0,AL,Albania,,Albania,,Albania,Albania,Austria,Bosnia,Belgium,Bulgaria,Switzerland,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,UK,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Montenegro,North Macedonia,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Sweden,Slovenia,Slovakia
AT1 0,AT,Austria,,Austria,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA1 0,BA,Bosnia,,Bosnia,,Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE1 0,BE,Belgium,,Belgium,,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG1 0,BG,Bulgaria,,Bulgaria,,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH1 0,CH,Switzerland,,Switzerland,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ1 0,CZ,Czechia,,Czechia,,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE1 0,DE,Germany,,Germany,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK1 0,DK,Denmark,,Denmark,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK2 0,DK,Denmark,,Estonia,,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE6 0,EE,Estonia,,Spain,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES1 0,ES,Spain,,Finland,,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES4 0,ES,Spain,,France,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI2 0,FI,Finland,,UK,,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR1 0,FR,France,,Greece,,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB0 0,GB,UK,,Croatia,,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB5 0,GB,UK,,Hungary,,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR1 0,GR,Greece,,Ireland,,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR1 0,HR,Croatia,,Italy,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HU1 0,HU,Hungary,,Lithuania,,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE5 0,IE,Ireland,,Luxembourg,,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT1 0,IT,Italy,,Latvia,,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT3 0,IT,Italy,,Montenegro,,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT6 0,LT,Lithuania,,North Macedonia,,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU1 0,LU,Luxembourg,,Netherlands,,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LV6 0,LV,Latvia,,Norway,,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME1 0,ME,Montenegro,,Poland,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK1 0,MK,North Macedonia,,Portugal,,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL1 0,NL,Netherlands,,Romania,,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO2 0,NO,Norway,,Serbia,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL1 0,PL,Poland,,Sweden,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT1 0,PT,Portugal,,Slovenia,,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO1 0,RO,Romania,,Slovakia,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS1 0,RS,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE2 0,SE,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI1 0,SI,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK1 0,SK,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
