Capacity_Allocation,Algeria,LNG_2021,LNG_2022,LNG_2023,LNG_2025,LNG_2030,Libya,Norway,Turkey,Russia,Baltic
0,0,44.64040262,44.64040262,44.64040262,59.41918115,63.4269855,0,43.96774284,0,0,0
0,0,0,0,0,0,0,0,0,37.71406513,53.90539184,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,25.04877717
0,0,0,0,20.54794521,73.97260274,104.0311353,0,116.1227494,0,126.4343479,0
0,0,0,5.479452055,5.479452055,12.32876712,12.32876712,0,0,0,3.36908699,0
0,0,19.09149295,34.37124702,40.63344132,40.63344131,40.63344131,0,0,29.33011417,0,0
0,27.6752667,178.8423677,178.8423677,178.8423677,178.8423677,182.0987087,0,0,0,0,0
0,0,111.6477994,111.6477994,111.6477994,146.9665752,173.7687668,0,50.36770541,0,0,0
0,0,7.486859979,7.486859979,7.486859979,7.486859979,18.50832194,0,0,0,0,0
0,62.74706158,44.35964537,46.86452309,46.86452309,48.11696195,48.11696195,10.23994011,0,0,0,0
0,0,0,0,3.757316576,3.757316576,3.757316576,0,0,0,0,0
0,0,11.41746147,11.41746147,11.41746147,11.41746147,11.41746147,0,0,0,30.41536867,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,71.31234129,0
0,0,36.03051364,36.03051364,36.03051364,37.28295251,37.28295251,0,35.23636534,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,14.78654846,31.06825362,31.06825362,42.34020335,42.34020335,0,0,0,125.3113189,0
0,0,18.71714995,18.71714995,18.71714995,18.71714995,18.71714995,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,108.840227,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,189.7919004,0
0,0,1.252438859,6.849315068,6.849315068,6.849315068,6.849315068,0,0,0,20.58886494,0
0,0,151.2345715,151.2345715,151.2345715,163.7589602,163.7589602,0,145.7911473,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11.41746147,0
0,0,0,0,0,6.512682065,6.512682065,0,0,0,0,0
