Electricity,CHP,Industry,Residential,Commercial
1,1,1,1,1
1,1,1,1,1
0.8,0.99,1,0.96,0.96
0.5,0.98,0.99,0.95,0.95
0.3,0.97,0.99,0.95,0.95
0.1,0.95,0.98,0.94,0.94
0.1,0.94,0.97,0.93,0.93
0.1,0.93,0.96,0.93,0.93
0.1,0.92,0.96,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
0.1,0.92,0.95,0.92,0.92
