Code,Country,Shortfall,Shortfall/Demand
1,Belgium,0.0,0.0
2,Bulgaria,0.0,0.0
3,Czechia,0.0,0.0
4,Denmark,0.0,0.0
5,Germany,0.0,0.0
6,Estonia,0.0,0.0
7,Greece,0.0,0.0
8,Spain,0.0,0.0
9,France,0.0,0.0
10,Croatia,0.0,0.0
11,Italy,0.0,0.0
12,Latvia,0.0,0.0
13,Lithuania,0.0,0.0
14,Luxembourg,0.0,0.0
15,Hungary,0.2690446846866696,0.008468787301461068
16,Netherlands,0.0,0.0
17,Austria,0.0,0.0
18,Poland,0.0,0.0
19,Portugal,0.0,0.0
20,Romania,1.3744203078375001,0.041666666666666664
21,Slovenia,0.0,0.0
22,Slovakia,0.0,0.0
23,Finland,0.34215709917776893,0.04986982607249469
24,UK,0.0,0.0
25,North Macedonia,0.0,0.0
26,Serbia,0.0,0.0
27,Moldova,0.0,0.0
28,Ukraine,0.0,0.0
29,Ireland,0.0,0.0
